name,latitude,longitude,elevation,description,photo_url
Triglav,46.3783,13.8366,2864,The highest peak in Slovenia,/static/img/triglav.jpg
Maglić,43.2767,18.7444,2386,Highest peak of Bosnia and Herzegovina,/static/img/maglic.jpg
